Time [s], Analyzer Name, Decoded Protocol Result
0.001132343750000,I2S / PCM,Ch 1: 0xFFFE15
0.001142750000000,I2S / PCM,Ch 2: 0x000028
0.001153187500000,I2S / PCM,Ch 1: 0xFFFCF7
0.001163593750000,I2S / PCM,Ch 2: 0xFFFA7A
0.001174031250000,I2S / PCM,Ch 1: 0x000158
0.001184437500000,I2S / PCM,Ch 2: 0x0000A9
0.001194875000000,I2S / PCM,Ch 1: 0xFFF7BB
0.001205281250000,I2S / PCM,Ch 2: 0xFFF8B0
0.001215718750000,I2S / PCM,Ch 1: 0x0004BD
0.001226125000000,I2S / PCM,Ch 2: 0x0005BD
0.001236562500000,I2S / PCM,Ch 1: 0xFFFC02
0.001247000000000,I2S / PCM,Ch 2: 0xFFFD26
0.001257406250000,I2S / PCM,Ch 1: 0x0002C0
0.001267843750000,I2S / PCM,Ch 2: 0x0003F3
0.001278250000000,I2S / PCM,Ch 1: 0xFFFF84
0.001288687500000,I2S / PCM,Ch 2: 0x0000F0
0.001299093750000,I2S / PCM,Ch 1: 0xFFFCB1
0.001309531250000,I2S / PCM,Ch 2: 0xFFFBE2
0.001319937500000,I2S / PCM,Ch 1: 0x000200
0.001330375000000,I2S / PCM,Ch 2: 0x000117
0.001340781250000,I2S / PCM,Ch 1: 0x00014D
0.001351218750000,I2S / PCM,Ch 2: 0x000388
0.001361625000000,I2S / PCM,Ch 1: 0xFFFFA0
0.001372062500000,I2S / PCM,Ch 2: 0x0000A0
0.001382500000000,I2S / PCM,Ch 1: 0xFFFC92
0.001392906250000,I2S / PCM,Ch 2: 0xFFFDCF
0.001403343750000,I2S / PCM,Ch 1: 0x0000BE
0.001413750000000,I2S / PCM,Ch 2: 0x000152
0.001424187500000,I2S / PCM,Ch 1: 0x00015E
0.001434593750000,I2S / PCM,Ch 2: 0x0002E2
0.001445031250000,I2S / PCM,Ch 1: 0xFFFF84
0.001455437500000,I2S / PCM,Ch 2: 0x0000F0
0.001465875000000,I2S / PCM,Ch 1: 0xFFFCB1
0.001476281250000,I2S / PCM,Ch 2: 0x000501
0.001486718750000,I2S / PCM,Ch 1: 0xFFFCDD
0.001497125000000,I2S / PCM,Ch 2: 0xFFFD1E
0.001507562500000,I2S / PCM,Ch 1: 0x0001FB
0.001518000000000,I2S / PCM,Ch 2: 0x000382
0.001528406250000,I2S / PCM,Ch 1: 0x0000B1
0.001538843750000,I2S / PCM,Ch 2: 0x000138
0.001549250000000,I2S / PCM,Ch 1: 0xFFFF8B
0.001559687500000,I2S / PCM,Ch 2: 0xFFFDCF
0.001570093750000,I2S / PCM,Ch 1: 0x0000BE
0.001580531250000,I2S / PCM,Ch 2: 0x000152
0.001590937500000,I2S / PCM,Ch 1: 0x00015E
0.001601375000000,I2S / PCM,Ch 2: 0x0002E2
0.001611781250000,I2S / PCM,Ch 1: 0xFFFF3E
0.001622218750000,I2S / PCM,Ch 2: 0x000050
0.001632625000000,I2S / PCM,Ch 1: 0xFFFFBE
0.001643062500000,I2S / PCM,Ch 2: 0xFFFF83
0.001653468750000,I2S / PCM,Ch 1: 0xFFFDCD
0.001663906250000,I2S / PCM,Ch 2: 0xFFFF86
0.001674343750000,I2S / PCM,Ch 1: 0x000547
0.001684750000000,I2S / PCM,Ch 2: 0x000506
0.001695187500000,I2S / PCM,Ch 1: 0x0003AD
0.001705593750000,I2S / PCM,Ch 2: 0x000398
0.001716031250000,I2S / PCM,Ch 1: 0x0006E8
0.001726437500000,I2S / PCM,Ch 2: 0x0004F5
0.001736875000000,I2S / PCM,Ch 1: 0x000B7F
0.001747281250000,I2S / PCM,Ch 2: 0x000B84
0.001757718750000,I2S / PCM,Ch 1: 0xFFFED8
0.001768125000000,I2S / PCM,Ch 2: 0xFFFE29
0.001778562500000,I2S / PCM,Ch 1: 0xFFFF3E
0.001788968750000,I2S / PCM,Ch 2: 0x000050
0.001799406250000,I2S / PCM,Ch 1: 0xFFFFBE
0.001809812500000,I2S / PCM,Ch 2: 0x000068
0.001820250000000,I2S / PCM,Ch 1: 0x000259
0.001830687500000,I2S / PCM,Ch 2: 0x000307
0.001841093750000,I2S / PCM,Ch 1: 0xFFFAAB
0.001851531250000,I2S / PCM,Ch 2: 0xFFFB94
0.001861937500000,I2S / PCM,Ch 1: 0x0007C8
0.001872375000000,I2S / PCM,Ch 2: 0x0004DB
0.001882781250000,I2S / PCM,Ch 1: 0x000515
0.001893218750000,I2S / PCM,Ch 2: 0x0004F5
0.001903625000000,I2S / PCM,Ch 1: 0x000B7F
0.001914062500000,I2S / PCM,Ch 2: 0x000B84
0.001924468750000,I2S / PCM,Ch 1: 0xFFFED8
0.001934906250000,I2S / PCM,Ch 2: 0xFFFE29
0.001945312500000,I2S / PCM,Ch 1: 0xFFFD69
0.001955750000000,I2S / PCM,Ch 2: 0xFFFEC1
0.001966187500000,I2S / PCM,Ch 1: 0x00040D
0.001976593750000,I2S / PCM,Ch 2: 0x000493
0.001987031250000,I2S / PCM,Ch 1: 0x000240
0.001997437500000,I2S / PCM,Ch 2: 0x000292
0.002007875000000,I2S / PCM,Ch 1: 0x000301
0.002018281250000,I2S / PCM,Ch 2: 0x0001CF
0.002028718750000,I2S / PCM,Ch 1: 0x00026C
0.002039125000000,I2S / PCM,Ch 2: 0x000063
0.002049562500000,I2S / PCM,Ch 1: 0xFFFF31
0.002059968750000,I2S / PCM,Ch 2: 0x0004EA
0.002070406250000,I2S / PCM,Ch 1: 0x000068
0.002080812500000,I2S / PCM,Ch 2: 0xFFFFB0
0.002091250000000,I2S / PCM,Ch 1: 0x0002A1
0.002101656250000,I2S / PCM,Ch 2: 0x000314
0.002112093750000,I2S / PCM,Ch 1: 0xFFFD69
0.002122500000000,I2S / PCM,Ch 2: 0xFFFEC1
0.002132937500000,I2S / PCM,Ch 1: 0x00040D
0.002143375000000,I2S / PCM,Ch 2: 0x0004C2
0.002153781250000,I2S / PCM,Ch 1: 0x0003F7
0.002164218750000,I2S / PCM,Ch 2: 0x000291
0.002174625000000,I2S / PCM,Ch 1: 0xFFFF2C
0.002185062500000,I2S / PCM,Ch 2: 0xFFFE6D
0.002195468750000,I2S / PCM,Ch 1: 0xFFFFF3
0.002205906250000,I2S / PCM,Ch 2: 0xFFFEF4
0.002216312500000,I2S / PCM,Ch 1: 0x00039F
0.002226750000000,I2S / PCM,Ch 2: 0x0004EA
